"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","EZ Bar Biceps Curl",,"",0,"normal",10,15,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","EZ Bar Biceps Curl",,"",1,"normal",10,15,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","EZ Bar Biceps Curl",,"",2,"normal",15,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","EZ Bar Biceps Curl",,"",3,"normal",15,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",16,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Hammer Curl (Dumbbell)",,"",1,"normal",16,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Hammer Curl (Dumbbell)",,"",2,"normal",20,8,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Hammer Curl (Dumbbell)",,"",3,"normal",20,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Butterfly (Pec Deck)",,"",0,"normal",45,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Butterfly (Pec Deck)",,"",1,"normal",52,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Butterfly (Pec Deck)",,"",2,"normal",39,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Preacher Curl (Machine)",,"",0,"normal",9,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Preacher Curl (Machine)",,"",1,"normal",14,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Preacher Curl (Machine)",,"",2,"normal",14,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Chest Press (Machine)",,"",0,"normal",18,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Chest Press (Machine)",,"",1,"normal",25,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Chest Press (Machine)",,"",2,"normal",25,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Low Cable Fly Crossovers",,"",0,"normal",2.3,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Low Cable Fly Crossovers",,"",1,"normal",2.3,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Low Cable Fly Crossovers",,"",2,"normal",2.3,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Low Cable Fly Crossovers",,"",3,"normal",2.3,10,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Bench Press (Smith Machine)",,"",0,"normal",11.3,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Bench Press (Smith Machine)",,"",1,"normal",21.3,12,,,
"Séance pecs biceps","Sep 11, 2025, 2:03 PM","Sep 11, 2025, 3:35 PM","","Bench Press (Smith Machine)",,"",2,"normal",31.3,10,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","EZ Bar Biceps Curl",,"",0,"normal",10,15,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","EZ Bar Biceps Curl",,"",1,"normal",10,15,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","EZ Bar Biceps Curl",,"",2,"normal",15,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","EZ Bar Biceps Curl",,"",3,"normal",15,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Dumbbell)",,"Augmznte la prochaine fois",0,"normal",10,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Dumbbell)",,"Augmznte la prochaine fois",1,"normal",12,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Dumbbell)",,"Augmznte la prochaine fois",2,"normal",12,13,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",16,10,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Hammer Curl (Dumbbell)",,"",1,"normal",16,10,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Hammer Curl (Dumbbell)",,"",2,"normal",20,8,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Hammer Curl (Dumbbell)",,"",3,"normal",20,8,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Butterfly (Pec Deck)",,"",0,"normal",32,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Butterfly (Pec Deck)",,"",1,"normal",45,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Butterfly (Pec Deck)",,"",2,"normal",52,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Preacher Curl (Machine)",,"",0,"normal",9,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Preacher Curl (Machine)",,"",1,"normal",11,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Preacher Curl (Machine)",,"",2,"normal",11,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Chest Press (Machine)",,"",0,"normal",18,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Chest Press (Machine)",,"",1,"normal",20,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Chest Press (Machine)",,"",2,"normal",25,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Barbell)",,"",0,"normal",20,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Barbell)",,"",1,"normal",30,12,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Bench Press (Barbell)",,"",2,"normal",30,10,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Low Cable Fly Crossovers",,"Un bras stp",0,"normal",2.3,10,,,
"Séance pecs biceps","Sep 6, 2025, 2:31 PM","Sep 6, 2025, 3:44 PM","","Low Cable Fly Crossovers",,"Un bras stp",1,"normal",2.3,10,,,
